"Albion Street North","Albion Street South","Briggate","Briggate at McDonalds","Commercial Street at Barratts","Commercial Street at Lush","Dortmund Square","Headrow"
88,60,197,57,79,98,68,83
24,42,270,22,23,16,33,25
8,9,100,39,9,5,29,14
10,11,88,16,3,1,13,12
4,2,62,8,2,19,13,13
12,14,84,7,8,11,13,2
7,20,57,29,43,30,23,18
62,196,209,64,173,210,145,57
259,303,251,272,334,405,279,123
853,651,427,516,788,1036,1229,408
1045,566,275,506,760,1362,2067,471
2015,1514,240,992,1125,2250,1240,795
2568,2501,1061,1386,1712,3007,1859,1100
3570,4425,2583,1919,3116,5482,2843,1945
3279,4626,3021,1884,3160,5644,2931,1892
2235,2679,2185,1635,2112,3489,2260,1589
1799,2139,1864,1605,1922,2972,2187,1376
1962,2329,1662,1585,1991,2759,2269,1344
1867,2108,1359,1189,1370,2064,2028,844
789,1121,953,535,606,432,1137,339
257,391,445,300,211,137,628,221
105,194,309,211,133,91,355,136
79,138,241,153,91,51,252,124
53,107,302,147,124,50,209,87
27,34,166,96,54,32,94,55
22,37,135,38,52,37,39,47
18,8,97,39,20,46,43,23
11,19,98,50,8,40,41,32
7,16,91,36,6,26,27,23
7,26,123,23,550,15,22,5
92,97,144,8,537,54,134,20
38,58,132,59,87,87,94,69
266,266,174,234,263,343,327,196
697,513,363,506,608,735,1300,517
814,421,513,502,695,1049,2075,704
1857,1385,1081,855,1109,1886,1325,1118
3972,3226,1552,891,1629,2860,1830,1548
3461,4479,5060,896,2753,5498,2909,2496
3326,3941,7648,710,2752,6435,2860,2854
2171,2562,4760,1372,1920,2927,2171,2152
1834,2067,3451,1562,1738,2677,2202,1977
1799,2178,1660,1670,1860,2861,2572,1892
2083,2426,1652,1337,1382,2101,2191,1230
823,1112,1024,596,537,427,1111,564
247,386,480,354,285,138,593,347
142,237,328,236,148,90,384,230
76,141,232,192,130,53,244,245
73,159,301,158,217,58,211,210
81,80,242,139,84,31,127,114
49,44,297,42,20,22,89,21
21,37,114,49,9,6,66,16
14,22,127,47,10,26,68,12
17,19,82,26,19,28,33,7
6,53,68,10,66,92,27,1
16,89,127,31,63,81,30,19
53,143,155,72,164,270,101,48
282,344,225,261,288,543,270,137
1052,1005,470,610,662,1014,646,385
1066,842,460,630,767,1207,1636,531
1457,1272,660,1064,1209,2039,1184,708
2788,2456,1409,1487,1415,2604,1723,1046
3572,4618,3963,1352,2796,5369,2754,1739
3000,4382,4392,1924,3025,5460,3001,1765
2068,2822,2449,1703,2117,3455,2203,1382
1926,2250,1820,1618,1978,3050,2231,1480
2021,2601,1981,1653,1905,2809,2132,1332
2068,2501,1792,1353,1340,2118,2118,946
763,1185,1038,623,564,436,1148,417
264,456,565,335,290,160,734,263
153,273,320,253,176,88,416,226
86,150,281,188,89,55,264,159
70,143,212,149,65,43,279,106
75,72,198,116,119,69,122,80
23,54,196,38,58,56,43,22
16,20,67,44,12,21,44,24
7,12,59,49,7,2,31,6
6,10,60,39,6,2,97,3
16,56,89,13,41,93,7,1
19,53,79,21,60,104,35,27
55,148,161,74,89,118,89,55
283,262,321,274,287,432,376,147
744,514,455,527,672,1070,1351,399
891,619,243,580,872,1395,2093,591
2005,1489,450,1102,1220,2075,1376,864
3376,3271,1426,1322,1807,3157,2057,1089
3358,4804,4995,1273,3211,6020,2979,1850
2995,3904,5632,1657,3196,6307,3176,1768
2079,2915,4252,1521,2093,3166,2224,1326
1685,2103,3678,1603,1833,2762,2261,1291
1905,2357,1862,1673,1920,2960,2390,1322
1981,2438,1809,1459,1505,2459,2279,1057
1023,1410,1342,851,715,680,1222,520
311,456,815,543,306,244,869,321
154,243,444,335,165,95,475,200
94,178,329,247,159,81,380,189
114,226,357,216,89,67,330,168
159,190,465,160,107,48,163,187
42,62,280,82,56,34,101,73
61,37,215,100,43,31,76,33
46,35,255,154,29,15,138,57
58,58,332,168,10,12,114,25
34,18,162,41,33,55,25,7
7,30,139,33,50,60,57,12
41,103,118,85,150,151,92,58
213,250,200,246,223,429,327,145
762,552,369,497,666,988,1116,388
1006,762,333,552,859,1432,1606,561
1619,1393,842,1139,1254,2158,1501,843
3511,3071,1728,1343,1834,3136,2074,1217
3823,5504,3523,2021,2993,5422,2883,1862
3245,4331,5319,1562,3425,6509,3127,1893
2384,3160,4249,1786,2393,3746,2773,1623
1831,2552,3642,1774,2207,3342,2415,1327
2263,3058,2331,1870,2191,3333,2608,1569
2120,2478,2088,1430,1599,2290,2337,1170
829,1203,1291,607,600,521,1285,442
313,531,789,491,363,225,903,400
205,362,641,352,243,143,601,235
126,237,578,338,187,83,419,302
170,281,809,353,207,82,444,233
179,253,695,274,184,82,248,179
127,125,464,134,92,67,163,111
95,105,300,112,63,55,78,85
70,77,172,91,37,34,59,60
73,58,253,144,31,27,92,49
19,16,126,49,35,47,54,16
18,70,120,36,39,63,20,27
37,79,93,37,32,43,32,29
80,81,143,122,92,318,168,48
367,348,268,304,402,630,441,219
814,996,627,592,901,1627,845,583
1503,2430,1210,946,1936,3321,1487,1009
2534,4688,2138,1360,3330,4989,2527,1662
3302,6124,3536,1797,4156,5562,3225,2293
3803,7826,4409,1910,4861,6700,4146,2781
4069,7978,5763,1961,5226,6810,5073,3074
4848,9720,6168,2155,5315,6900,5110,3005
4049,7263,5604,2089,3811,5569,3790,2245
2344,3367,3845,1655,1993,3184,2998,1535
789,1092,1534,703,655,476,1325,544
283,429,845,458,313,197,826,383
233,398,697,349,205,106,534,422
181,333,705,335,155,92,439,278
255,426,859,398,171,108,413,299
293,296,912,266,132,67,315,206
189,225,773,199,165,95,125,78
121,146,609,145,75,52,163,116
160,198,338,172,36,32,127,96
165,155,361,160,55,40,103,75
50,71,203,78,17,24,36,25
17,30,104,30,4,16,22,17
36,34,55,37,11,12,35,19
22,15,87,60,27,42,72,36
26,27,110,93,38,64,237,60
156,66,40,195,136,198,390,131
582,544,163,701,495,751,560,403
2212,2563,1570,850,1023,2057,1395,858
2304,3159,4087,838,1844,3255,1840,1297
1487,1281,6889,636,2003,3849,2125,1434
2046,2672,5533,1343,2024,3074,1950,1500
1745,2323,4551,1559,1774,2900,2009,1587
1262,1536,1740,1221,1262,1916,1597,894
620,622,763,682,414,482,819,383
218,245,371,264,149,93,307,172
108,162,298,201,122,57,239,166
71,118,258,151,66,32,155,99
55,112,186,101,83,26,105,123
57,77,143,126,28,19,142,83
51,70,184,98,28,16,101,33
32,41,105,28,17,29,32,21
6,6,71,20,48,31,23,5
5,21,58,21,6,9,13,6
3,2,43,17,9,17,7,6
17,20,42,8,13,24,4,2
40,39,30,21,27,46,56,19
46,100,117,134,81,109,108,58
265,252,206,247,251,491,332,147
808,602,424,536,670,919,1197,465
1132,613,211,484,706,1148,2017,559
1808,1525,355,960,1085,1925,1953,737
3283,3088,1469,1033,1408,2602,2275,1040
3351,3937,4272,1034,2503,5468,2796,1847
2289,1393,6755,763,2630,6586,2916,1792
1956,2469,4190,1170,1967,2989,2134,1357
1704,1966,3089,1562,1656,2604,2204,1447
1905,2221,1616,1596,1860,2717,2156,1330
1859,2251,1341,1271,1369,1984,1936,883
747,923,858,611,668,425,1065,356
187,362,440,369,238,114,678,254
141,247,348,238,165,83,369,145
76,161,189,196,118,50,228,142
82,115,247,133,94,47,181,86
68,109,224,98,103,36,107,48
13,45,140,45,20,34,35,18
20,14,60,36,15,7,61,12
9,4,62,49,33,24,49,16
4,29,127,40,19,23,32,17
8,17,99,17,21,32,14,10
63,92,119,21,56,85,54,22
43,58,100,80,94,130,124,52
258,253,249,246,307,431,355,156
845,626,359,559,671,688,1411,569
1017,563,155,563,779,1099,2084,616
1787,1646,443,1133,1223,2113,2365,821
2427,2192,1388,1640,1802,3053,2450,1183
2870,4095,2285,2014,3186,5786,2960,1767
3466,4976,2848,1942,2971,5898,2879,1848
2188,2678,2004,1638,2096,3257,2147,1334
1761,1809,1616,1555,1902,2779,1911,1262
1950,2411,1619,1483,1702,2622,2290,1241
2072,2349,1433,1140,1283,2060,1781,901
718,959,882,491,439,367,984,390
191,360,465,319,241,126,623,260
128,337,261,161,178,112,328,110
85,157,231,203,92,41,261,195
73,123,316,140,93,24,203,113
49,73,202,100,66,42,143,85
34,46,247,49,14,17,60,38
28,33,60,32,9,7,37,6
17,12,97,29,8,6,38,15
12,12,80,31,6,2,34,20
5,24,51,10,39,61,27,3
43,49,203,22,65,83,31,18
50,151,78,117,185,129,106,53
263,332,300,302,292,310,349,153
1062,1069,572,638,637,1129,727,374
853,962,699,672,747,1289,783,515
1241,1259,784,1046,1129,1933,1360,794
2677,2693,1527,1296,1631,2731,2498,1090
3315,4379,4788,1240,2782,5765,3257,1736
2672,3091,5701,1464,3024,6634,3295,1733
2172,2753,3192,1748,2304,3502,2379,1361
1913,2221,1964,1644,1944,2971,2136,1324
2167,2575,2010,1715,1880,2899,2504,1439
2064,2776,1972,1385,1383,2284,2036,947
774,1001,1125,696,563,512,1089,436
250,400,578,424,269,139,846,313
158,273,400,259,157,79,453,168
84,146,256,262,131,115,315,222
93,182,347,519,75,29,400,155
42,62,196,129,53,31,125,102
62,41,121,77,25,23,64,59
16,21,78,40,21,27,65,22
15,57,57,60,88,75,34,11
3,3,60,23,7,3,26,19
12,55,44,9,43,70,15,0
41,108,117,22,88,111,26,15
41,136,84,84,88,128,88,51
292,287,288,250,296,369,301,135
845,684,481,602,758,927,1201,399
1095,752,136,630,998,1302,2292,562
1782,1804,360,1048,1222,2011,2786,759
3474,3437,1785,1087,1650,2807,3375,1122
3771,5041,5240,1078,2880,6522,3498,1867
2542,2834,7043,1314,3281,7689,3254,1761
2122,2802,4206,1702,2320,3366,2442,1345
1866,2289,1951,1642,2170,3073,2175,1293
1960,2368,1789,1631,1940,2941,2365,1339
2058,2411,1549,1477,1544,2440,1990,988
1084,1232,1332,770,727,702,1129,507
330,504,746,464,306,172,822,269
146,271,373,414,203,112,414,174
105,178,245,406,125,69,351,179
104,175,377,196,105,40,217,117
76,154,337,150,88,45,193,104
30,38,276,68,59,44,96,76
50,48,276,111,38,71,73,51
15,14,212,134,27,12,110,33
44,36,339,151,29,16,84,17
24,41,117,35,7,11,25,6
12,10,94,30,17,24,62,19
37,95,98,81,145,126,91,45
308,322,287,222,270,273,370,132
1066,967,386,482,688,658,672,383
1065,1104,618,546,297,1346,839,536
1282,1559,962,886,1266,2137,1301,778
1912,2409,1641,1410,1884,2776,2231,1077
3178,4378,2190,1963,3124,5114,2924,1753
3519,5138,2768,2006,3329,5891,2964,1836
2390,3350,2465,1804,2505,3907,2403,1396
2137,2814,2182,1502,2377,3437,2622,1431
2360,3263,2110,1552,2355,3156,3067,1462
2256,2818,1858,1178,1512,2322,2130,1022
797,995,1125,630,467,534,1117,489
290,414,694,394,292,187,795,298
160,290,430,260,216,113,481,228
107,237,356,302,159,90,380,213
158,267,621,288,125,80,329,242
154,193,455,231,142,71,214,188
142,214,464,158,122,83,138,118
65,79,373,129,74,55,119,69
45,43,334,142,35,34,88,57
77,82,220,109,25,29,73,42
10,23,179,63,18,15,21,19
32,65,107,33,51,75,27,27
28,52,88,56,59,73,39,76
60,75,116,106,100,121,115,87
292,223,173,380,432,570,637,201
1051,978,92,747,1014,1635,2149,541
2675,2983,862,1273,1956,3339,3022,1090
5722,7136,3590,1114,3067,5443,4573,1696
4801,6548,9050,830,4235,7449,4556,2185
3067,2456,12223,831,5390,9680,5231,2980
4892,9765,12558,2025,6820,9222,5846,3134
4542,9199,9799,2108,7101,9597,5300,2866
3855,7976,5877,2084,5399,7022,3758,2159
2276,3849,3152,1605,2123,3188,2526,1371
877,1154,1347,699,649,601,1219,537
276,403,828,420,269,134,850,380
173,287,567,324,150,86,490,269
144,231,515,327,154,68,511,286
166,289,804,289,147,71,414,266
245,304,643,253,195,76,265,247
124,141,553,176,122,59,170,119
124,127,402,209,45,35,162,97
141,116,334,161,37,48,121,67
105,130,373,139,27,13,118,28
45,35,179,86,59,42,40,29
15,13,98,42,17,10,30,6
7,12,45,34,23,28,22,31
35,32,61,68,33,42,48,21
45,51,77,86,54,70,67,53
157,143,174,229,149,212,159,154
412,399,405,678,581,708,557,373
1398,1630,1275,1104,1065,1654,1562,980
1437,1929,1974,1205,1592,2589,1467,1044
1521,1735,2708,1266,1875,3064,1748,1087
1487,1812,3643,1234,1825,2523,1967,1134
1393,1769,3154,1257,1673,2434,1630,1063
1042,1252,1406,953,1012,1554,1295,773
495,520,610,540,310,368,717,389
197,203,270,264,232,151,293,227
132,203,258,189,122,44,260,183
98,140,162,126,64,33,155,77
47,108,143,93,76,31,141,90
50,60,97,84,31,18,117,76
41,57,114,69,66,40,79,34
7,18,130,55,29,52,31,37
3,7,60,30,6,8,13,26
4,5,53,23,2,1,16,6
0,1,22,7,2,2,10,16
13,10,25,7,5,8,16,3
25,40,38,19,62,31,23,18
62,104,119,73,156,194,109,44
298,338,258,238,287,334,297,148
963,913,408,542,781,1033,676,360
1201,934,441,639,807,1219,854,498
1523,1302,772,1064,1252,1993,1569,773
1737,1845,1012,1456,1606,2664,1979,1006
2546,3490,1853,1777,2838,4811,2265,1701
3298,4379,2413,1822,2966,5051,2335,1614
1927,2393,1720,1489,1979,2902,1853,1195
1621,1844,1547,1478,1756,2458,1840,1083
2004,2236,1430,1426,1679,2504,2081,1125
1867,2140,1403,1232,1201,1863,1767,883
694,796,725,520,456,416,949,262
191,298,402,308,268,118,571,196
100,174,352,168,148,66,329,115
67,105,219,153,79,28,268,87
49,81,269,141,94,44,200,88
44,48,178,88,38,15,72,57
11,17,149,53,69,48,39,38
15,23,70,49,15,30,51,15
6,9,98,69,9,18,53,21
7,2,94,49,9,5,49,26
6,21,92,26,29,40,11,1
61,71,80,18,55,96,29,23
49,63,108,85,74,101,101,47
219,314,219,238,279,402,282,147
966,881,453,602,689,1055,653,316
1007,942,413,679,857,1291,1536,461
1570,1615,692,1286,1184,2033,2365,818
1923,2276,1355,1598,1828,2982,2640,1107
2599,3927,2234,1960,3027,5357,2957,1780
3085,4636,3473,1618,2959,6106,3318,1600
1915,2448,3263,1551,1963,3070,2531,1244
1535,1967,2372,1608,1793,2786,2132,1294
1759,2236,1666,1634,1791,2768,2245,1209
1937,2281,1521,1387,1504,2096,2034,958
784,877,1019,666,622,481,1122,391
309,361,437,273,245,161,649,245
133,250,397,230,173,134,397,203
79,142,224,192,139,84,296,140
84,187,280,205,89,46,287,116
112,143,239,128,84,41,152,138
46,66,227,80,22,29,78,41
41,29,127,66,57,54,47,8
31,126,191,71,18,6,61,16
46,18,162,58,16,14,39,18
10,19,119,21,13,14,31,10
13,82,165,27,78,111,42,18
108,92,100,113,121,138,105,65
318,306,224,279,285,328,280,145
986,873,351,521,798,996,982,350
910,889,389,659,925,1165,1032,529
1153,1273,809,1079,1292,1962,1472,752
2057,2190,1275,1538,1651,2947,2638,1092
2572,3629,2219,1920,2922,4997,2584,1862
3099,4776,3066,1925,3275,5905,3349,1826
2117,2884,3026,1692,2167,3273,2447,1362
1774,2206,2264,1657,1965,2922,2114,1286
2024,2626,1870,1762,2005,2749,2146,1240
2021,2667,1872,1463,1748,2238,2035,1046
839,1100,1111,674,720,578,1117,451
260,398,588,232,311,177,613,309
181,362,514,310,196,131,493,275
101,183,398,235,181,85,336,237
85,172,318,189,99,56,293,182
114,118,242,158,93,54,203,103
72,77,247,116,82,30,103,63
59,46,205,104,33,23,116,41
21,28,192,105,18,8,75,34
17,56,89,56,105,82,75,20
11,38,90,20,31,38,25,8
14,98,120,22,80,89,35,27
44,153,90,89,98,124,100,49
320,267,345,244,241,319,259,143
931,814,329,523,626,926,628,413
1152,1004,435,723,753,1134,1513,491
1569,1622,681,1228,1238,1994,2894,824
2643,2768,1605,1618,1897,2783,3247,1102
3170,4645,3000,1972,3380,5501,3359,1804
3287,5013,3062,1924,3257,5576,2812,1662
2220,2736,1815,1577,2003,3007,2136,1241
1854,2107,1591,1433,1698,2576,2021,1168
2205,2646,1591,1188,1829,2665,2488,1249
2067,2410,1622,1086,1549,2113,2233,942
960,1108,999,558,602,681,1200,497
323,450,586,392,275,175,792,281
141,254,278,170,197,136,396,178
98,180,211,194,158,116,300,167
114,176,306,215,101,81,282,162
129,160,309,143,125,174,140,113
58,63,348,98,91,37,114,51
31,46,187,110,35,10,70,28
22,24,152,153,13,2,119,28
37,33,310,200,30,17,153,58
16,34,154,52,20,28,25,20
5,46,135,45,46,34,68,30
46,128,114,72,174,147,81,81
234,282,204,241,338,319,366,186
790,707,238,514,704,866,1224,388
1045,898,138,765,815,1241,1879,607
1753,1975,759,1267,1324,2148,3027,866
3017,3314,2061,1474,1926,3060,4251,1133
4148,5414,5012,1241,3150,6026,4673,1821
2907,3773,6231,1559,3301,7923,4223,1979
2415,3480,2745,1950,3153,4452,2543,1557
2188,2931,2334,1853,2419,3638,2270,1436
2378,3101,2291,1853,2230,3235,2685,1514
2213,2889,2287,1527,1674,2469,2415,1071
819,1144,1128,742,621,597,1287,481
329,454,552,359,393,196,759,333
259,358,392,160,194,166,563,296
120,224,337,134,129,113,380,219
163,261,385,110,173,177,330,196
95,195,340,94,154,170,181,113
44,112,279,52,82,55,132,114
45,79,174,87,45,40,88,44
44,69,158,64,31,7,85,64
17,64,176,87,46,27,104,70
1,32,73,35,36,42,33,18
17,58,103,15,34,34,144,30
17,38,66,42,49,72,45,41
102,120,152,83,123,157,162,58
322,390,232,306,378,601,397,164
871,1004,740,528,1077,1601,801,562
1700,2373,1308,820,2299,3251,1574,1012
2617,4452,2519,1259,3660,4318,2265,1652
3272,5281,3638,1432,4227,5213,2968,1789
3619,6488,4272,1610,4700,6041,3510,2248
3486,6579,4672,1708,5184,5515,3673,2175
3369,6642,4382,1798,4245,4816,3473,2333
3096,4631,3775,1569,3205,4189,3405,1913
2133,2655,2660,1194,1614,2265,2524,1155
794,1021,1051,535,525,487,1285,476
273,340,611,261,254,152,817,362
192,293,466,212,155,163,464,320
162,277,453,273,157,109,399,349
248,368,720,293,174,145,414,298
252,319,806,276,148,120,306,249
195,170,668,165,121,113,150,121
157,139,472,226,48,41,152,127
103,110,380,190,41,20,90,74
137,147,315,157,42,13,143,58
39,33,235,100,17,9,45,26
10,9,145,62,13,19,25,29
18,24,148,64,33,27,30,53
125,22,76,62,85,76,96,62
213,69,98,119,57,59,169,184
1090,196,160,1700,2089,1872,584,266
2659,709,762,2584,2990,2908,2062,627
3914,3421,3402,1298,1923,3246,3683,1129
2707,3544,4896,1359,1848,3070,3280,1349
1717,2435,2873,1536,2022,3459,2371,1396
1739,2267,3615,1672,2224,3108,2212,1378
1644,2013,2453,1591,1871,2891,1888,1171
1081,1443,1692,1207,1370,1953,1301,796
584,674,848,668,390,505,772,359
161,179,352,368,189,204,371,270
105,186,366,201,85,41,246,183
86,146,183,142,68,44,185,110
50,83,227,112,74,56,123,109
59,96,160,157,47,48,143,129
51,64,143,81,55,47,74,58
13,15,81,38,19,31,26,21
6,6,60,42,29,15,43,14
15,26,88,35,3,5,24,0
0,1,58,26,9,14,10,7
15,15,63,18,9,15,18,6
22,40,28,56,50,56,16,17
67,121,121,65,109,159,146,53
279,283,265,267,284,344,283,145
910,796,455,633,532,1094,615,481
1067,1155,728,655,629,1286,779,448
1334,1422,1174,1031,1231,2035,1524,717
1553,1943,1551,1295,1606,2706,1606,1057
2568,3361,1854,1586,2586,4652,2417,1616
3575,3760,2034,1239,2757,4389,2571,1489
1910,1290,1384,1295,1989,2721,1841,1219
1592,1478,1466,1360,1557,2270,1706,1101
1656,2046,1330,1189,1460,2198,1947,1275
1685,1980,857,1006,1220,1817,1640,965
699,923,727,376,427,431,892,322
144,306,268,165,208,136,497,231
107,199,236,156,112,81,383,163
71,114,190,147,85,80,249,116
67,133,222,106,98,85,188,98
58,101,196,89,91,92,80,60
19,23,160,35,33,33,27,25
17,24,167,24,21,49,31,6
6,19,71,22,11,9,19,28
2,12,165,40,64,64,26,50
38,24,74,11,23,23,4,5
70,149,120,23,94,95,46,24
36,128,90,102,131,144,107,55
305,299,212,269,270,370,284,183
938,827,611,618,723,927,696,353
1046,918,515,760,814,1262,1473,511
1384,1396,837,1311,1233,2050,2512,773
2998,3158,1728,1514,1593,2903,3895,1115
3438,5299,3656,1991,3304,6023,4003,1773
3020,4864,3942,1751,3156,6381,3910,1754
1858,2487,2467,1708,2238,3316,2064,1301
1576,1948,1683,1555,1849,2707,1942,1306
1938,2480,1555,1424,1686,2524,2230,1146
2004,2138,1401,832,1209,1824,1861,826
702,894,802,273,397,396,916,348
167,320,281,93,204,151,514,178
107,225,204,82,131,114,327,154
77,162,164,442,67,67,237,104
83,135,161,58,76,84,141,98
42,60,161,44,55,64,97,54
38,38,134,36,25,43,72,32
24,35,66,29,24,8,46,13
11,18,101,29,14,4,35,10
27,22,101,23,20,3,25,22
6,9,83,5,23,24,15,4
15,73,209,19,75,96,64,26
43,83,48,65,93,131,89,45
279,289,192,262,255,330,345,155
1019,1058,439,558,730,994,791,398
1029,1092,566,624,800,1138,820,541
1066,1252,728,934,1107,1837,1043,706
1470,1853,1048,1457,1693,2607,1955,1088
2729,4300,2406,1970,2837,4901,2930,1756
3047,4337,2660,1882,2980,5319,2491,1580
2062,2567,2129,1578,2108,3412,1957,1223
1898,2211,1909,1620,1843,2823,1825,1360
1950,2381,2128,1676,1823,2682,1972,1216
2087,2724,1799,1347,1294,2076,1778,945
799,984,1096,690,533,655,941,420
245,382,494,334,276,158,648,279
205,355,397,269,178,136,405,249
119,188,325,235,127,124,312,204
111,202,401,235,125,123,231,124
102,122,194,185,107,65,115,103
9,36,66,15,20,30,48,11
13,24,38,14,42,34,22,10
14,33,40,13,15,43,22,15
6,9,111,12,2,5,30,4
9,18,44,4,41,11,3,4
6,31,24,8,36,76,62,18
54,178,123,63,161,130,129,51
286,291,287,200,235,347,354,155
990,1001,374,445,715,1022,805,430
990,1160,608,527,903,1373,869,584
1148,1349,709,911,1234,1870,1260,790
1807,2454,1228,1454,1841,2915,2323,1179
3456,4955,4127,1697,3032,5708,4155,1856
2495,2839,7101,1261,3052,6972,5100,1665
1794,2201,5232,1389,2124,3259,3107,1326
1515,2140,3389,1697,1939,2924,2029,1309
1839,2392,2036,1522,1994,2768,2100,1242
2102,2596,2073,1346,1716,2477,1950,1082
1042,1186,1418,705,813,855,1097,536
296,438,663,202,297,209,750,289
138,223,322,89,177,145,390,174
80,219,222,110,207,166,253,170
98,152,289,124,96,104,223,107
127,125,286,101,102,107,167,131
24,49,219,45,57,43,78,45
101,75,164,58,17,16,59,30
12,13,112,38,16,3,40,17
23,45,174,45,25,20,55,4
10,18,123,12,32,21,20,5
11,85,128,36,43,72,110,25
54,72,77,66,138,90,97,97
275,250,264,256,404,316,372,136
890,782,304,520,1025,974,982,373
1204,1116,394,902,1085,1340,1640,636
1952,1954,1022,1368,1797,2509,2282,938
2402,2824,2385,1788,2521,4055,2833,1287
3290,4516,3783,2128,3702,6391,3276,1964
3137,4899,4204,1942,3742,7435,4299,2021
2127,3101,4316,1859,2987,4197,3004,1567
2265,2772,2810,1742,2577,3591,2298,1375
1908,2646,1965,1333,2039,3067,2497,1317
1921,2544,1777,1317,1413,2197,1994,1103
833,1039,1246,828,576,685,1056,539
293,490,742,472,439,266,762,346
217,429,555,344,242,173,530,293
207,311,552,373,197,153,424,354
221,420,853,396,261,204,462,309
236,371,934,268,168,197,307,196
157,238,948,235,133,96,223,125
105,117,495,149,77,58,122,84
120,128,429,181,64,40,86,63
47,66,436,159,39,27,62,34
14,32,302,95,25,31,56,18
11,68,99,30,20,30,20,18
85,64,79,50,63,82,52,45
297,114,133,122,215,204,146,80
382,306,105,277,597,752,502,189
1333,1063,616,892,1190,2019,1286,558
3282,3799,1484,1515,2365,4040,3021,1036
4271,6041,3042,2070,3656,5844,3385,1698
5182,7635,6887,2015,4432,7570,4880,2362
4401,7685,7258,2124,5559,8597,5811,2848
4590,8576,7883,2230,5918,8830,6073,2880
4376,7617,7659,2229,5890,8239,4216,2499
2980,5733,5431,2031,3550,5410,3345,1848
2047,2935,3179,1433,1719,2788,2023,1172
873,918,1488,854,486,714,1071,534
266,401,753,499,260,170,769,324
210,355,737,359,198,153,547,282
182,320,704,313,176,148,422,273
297,454,757,328,189,157,353,261
305,388,921,301,186,153,327,202
135,164,637,236,160,99,174,186
0,0,0,0,0,0,0,0
259,281,702,244,112,60,198,174
208,262,551,217,122,56,112,134
249,188,473,181,40,42,73,89
45,56,314,76,20,16,21,14
11,17,183,47,16,17,22,56
17,27,69,65,49,42,23,96
23,41,94,86,82,100,93,49
99,95,68,158,208,134,257,108
524,354,99,625,450,628,840,336
1401,1539,751,959,948,1652,1737,709
2491,2547,1880,1454,1680,3011,2294,1002
2676,2681,3974,1325,1898,3256,2917,1245
1667,1273,5133,1002,2044,4199,3485,1213
1566,1934,3928,1427,1860,2883,2409,1126
1022,1271,2291,1084,1108,1793,1323,895
295,290,904,544,334,438,951,403
208,155,355,267,171,198,299,233
144,141,296,215,112,130,269,176
98,165,276,136,93,46,189,133
48,73,205,115,66,46,137,85
61,98,222,142,51,53,150,110
62,57,160,62,47,32,58,47
20,15,107,35,41,25,38,21
12,14,104,19,13,24,25,12
17,23,63,28,15,5,29,4
0,5,34,23,10,2,18,3
6,10,71,7,12,13,10,9
17,26,33,20,63,75,36,11
56,174,127,63,92,113,94,52
282,306,280,221,294,382,303,148
951,814,394,501,511,1022,598,401
1122,1113,550,484,689,1195,757,482
1196,1259,701,712,1072,1883,1132,683
1726,1963,1000,1022,1679,2641,1545,983
2944,3537,1910,1195,3009,4548,2228,1475
3509,3958,2375,1188,3028,4773,2435,1525
2138,2449,1856,1096,2253,2980,1892,1211
1697,1996,1633,1204,1924,2507,1948,1109
1816,2265,1179,1340,1559,2319,2047,1086
2004,2065,1292,769,1215,2066,1786,800
852,886,816,397,561,570,891,335
209,211,273,144,210,148,523,208
129,255,260,66,144,111,357,137
75,152,181,58,124,139,251,139
85,128,178,50,121,113,210,103
80,98,194,30,132,72,87,87
38,90,199,9,106,53,40,24
48,64,125,17,65,45,25,22
79,70,157,15,50,15,19,10
55,71,150,17,36,19,32,25
37,57,86,15,59,44,26,17
67,186,150,19,123,115,54,29
72,87,196,73,133,113,115,69
306,329,210,223,325,412,324,162
1064,954,426,469,692,1065,743,378
1000,1094,525,610,808,1107,878,521
1148,1349,844,972,1337,2034,1178,744
1714,2411,1104,1082,1871,3163,1752,981
2671,3845,2065,1266,3039,4673,2099,1482
3228,5020,2264,1621,3144,4848,2323,1566
2134,3174,1789,1510,2254,3056,2040,1232
1781,2359,1586,1491,1843,2574,1904,1176
1865,2252,1539,1541,1767,2570,1852,1172
2022,2290,1597,871,1240,2065,1701,809
683,870,852,436,503,578,928,303
200,228,318,220,218,166,516,227
110,228,192,86,118,92,352,153
62,176,154,284,123,90,256,149
56,108,138,51,48,35,142,95
41,46,124,36,28,32,80,45
17,34,59,11,20,23,34,29
7,16,35,6,1,0,16,2
2,10,63,8,3,0,18,15
6,9,14,2,4,0,27,7
17,8,12,4,25,16,31,2
23,101,86,12,71,65,132,27
25,63,100,50,86,107,204,42
319,327,217,224,242,360,303,151
973,918,412,454,732,928,571,389
970,1090,542,536,851,1193,719,525
1040,1204,784,859,1213,1975,1001,746
1425,1752,1166,1363,1697,2835,1478,1006
2832,3714,2016,1745,2950,4953,2646,1648
3104,4736,2932,1964,2954,6160,3317,1733
2101,2859,3041,1711,2147,3665,2495,1364
1752,2447,1936,1527,1894,2986,1988,1120
1839,2373,1857,1598,1937,2915,1883,1218
1728,2320,1703,1265,1581,2179,1609,893
804,922,1142,668,728,734,850,428
275,301,420,343,306,262,554,259
184,316,251,189,190,92,402,180
88,172,272,168,130,120,218,121
95,170,265,111,113,89,215,100
82,121,206,80,149,151,100,89
13,33,114,39,48,31,26,43
