"Albion Street North","Albion Street South","Briggate","Briggate at McDonalds","Commercial Street at Barratts","Commercial Street at Lush","Dortmund Square","Headrow"
12,61,288,110,175,38,97,94
16,59,323,94,69,31,109,60
89,72,225,68,32,4,120,33
27,75,264,87,41,2,119,46
6,14,120,44,30,8,45,10
28,93,77,36,92,130,38,37
69,131,126,168,128,268,95,75
243,276,250,227,322,839,237,229
762,606,272,481,1395,1175,511,585
693,995,292,747,1762,1475,810,658
1115,2024,1113,1396,2381,2325,1511,1105
2072,3384,1938,1633,2935,3368,2336,2168
3070,5727,3656,2335,4226,6673,3315,2433
2873,5799,3235,2026,3985,7503,3375,2325
2134,4166,3246,2153,3546,5305,2901,1950
2128,3259,2851,1980,3205,4484,2472,1869
1707,2925,2897,1673,2790,5754,2391,1525
601,1793,1993,1202,2653,4892,1813,1105
494,816,1116,934,830,1260,952,591
260,335,539,435,341,453,530,551
192,265,389,437,282,350,547,256
126,197,385,398,184,262,653,293
212,343,661,360,217,221,500,301
128,271,711,228,231,121,216,242
26,94,519,143,130,65,107,165
116,158,363,172,71,48,90,100
29,96,224,113,61,0,70,68
24,81,208,91,32,7,73,28
3,15,78,42,39,19,32,12
20,64,90,30,40,56,9,10
40,65,58,59,89,82,75,31
94,135,126,112,129,327,77,93
222,166,56,323,785,745,265,315
539,910,281,858,1687,1615,770,628
1373,2510,1207,1391,2481,2592,1740,1074
2162,3745,2333,1929,3201,4657,2800,1595
3366,6639,4122,2170,4297,6466,3760,1933
3410,6790,6079,2008,4897,7557,4105,2442
3344,6216,6983,1608,5445,8764,4191,2483
2648,4281,7127,1462,4056,8273,3846,2331
881,1796,5572,1276,3145,6737,3356,1732
119,1083,2901,1187,2569,4448,2097,1125
135,468,1111,755,1014,1111,1087,507
217,341,460,432,280,366,545,737
192,256,490,401,167,272,368,365
193,309,513,371,267,211,713,400
281,511,1180,444,268,128,594,399
275,531,1021,363,346,90,271,266
97,333,1095,252,216,20,229,216
66,201,626,233,207,34,166,144
89,280,549,215,69,47,141,128
49,160,387,143,114,7,136,90
22,67,290,89,31,18,44,34
15,26,72,72,13,20,21,35
8,30,140,46,26,35,19,19
23,26,69,60,17,53,27,31
52,110,82,90,61,91,81,54
135,126,185,157,138,249,198,112
360,406,380,540,484,809,564,374
911,1420,974,1105,1090,1892,1214,784
1484,2088,1478,1267,1722,2707,1826,1147
1577,2313,1675,1394,2018,3483,2362,1216
1451,2377,2075,1597,2126,3637,2342,1285
1490,2321,1935,1358,1941,3548,2043,1143
1012,1391,1446,1133,1225,2461,1585,701
500,545,749,445,350,806,757,353
